MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr1g0146771	Putative transcription factor WD40-like family
MtrunA17Chr1g0146781	hypothetical protein
MtrunA17Chr1g0146801	hypothetical protein
MtrunA17Chr1g0146811	Putative 3-oxoacyl-[acyl-carrier-protein] reductase
MtrunA17Chr1g0146821	hypothetical protein
MtrunA17Chr1g0146831	Putative glucan endo-1,3-beta-D-glucosidase
MtrunA17Chr1g0146851	Putative EF-hand domain pair protein
MtrunA17Chr1g0146861	hypothetical protein
MtrunA17Chr1g0146881	Putative carboxylesterase
MtrunA17Chr1g0146901	Putative CTAG/Pcc1 family protein
MtrunA17Chr1g0146911	Putative ABI family protein
MtrunA17Chr1g0146921	hypothetical protein
MtrunA17Chr1g0146931	Putative IQ motif, EF-hand binding protein
MtrunA17Chr1g0146941	hypothetical protein
MtrunA17Chr1g0146951	Putative histidine kinase-like ATPase domain-containing protein
MtrunA17Chr1g0146961	hypothetical protein
MtrunA17Chr1g0146971	hypothetical protein
MtrunA17Chr1g0146981	hypothetical protein
MtrunA17Chr1g0146991	hypothetical protein
MtrunA17Chr1g0147001	Putative galactose oxidase/kelch, beta-propeller, F-box associated interaction
MtrunA17Chr1g0147011	Putative histidine kinase-like ATPase domain-containing protein
MtrunA17Chr1g0147021	Putative transcription factor interactor and regulator C3H-WRC/GRF family
MtrunA17Chr1g0147031	hypothetical protein
MtrunA17Chr1g0147041	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr1g0147051	Putative pectinesterase
MtrunA17Chr1g0147061	hypothetical protein
MtrunA17Chr1g0147071	Putative transferase
MtrunA17Chr1g0147081	Putative HSP20-like chaperone
MtrunA17Chr1g0147091	Putative HSP20-like chaperone
MtrunA17Chr1g0147101	Putative HSP20-like chaperone
MtrunA17Chr1g0147111	Putative transcription factor C2C2-CO-like family
MtrunA17Chr1g0147121	Putative histone-lysine N-methyltransferase transcription regulator PHD family
MtrunA17Chr1g0147141	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr1g0147151	Putative presenilin/signal peptide peptidase
MtrunA17Chr1g0147161	Putative rhomboid protease
MtrunA17Chr1g0147171	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0147181	hypothetical protein
MtrunA17Chr1g0147191	hypothetical protein
MtrunA17Chr1g0147201	Putative pentatricopeptide
MtrunA17Chr1g0147211	Putative diphthamide synthesis DPH1/DPH2
MtrunA17Chr1g0147221	Putative indole-3-pyruvate monooxygenase
MtrunA17Chr1g0147231	Putative BURP domain-containing protein
MtrunA17Chr1g0147241	Putative BURP domain-containing protein
MtrunA17Chr1g0147251	Putative BURP domain-containing protein
MtrunA17Chr1g0147261	Putative BURP domain-containing protein
MtrunA17Chr1g0147271	Putative BURP domain-containing protein
MtrunA17Chr1g0147281	hypothetical protein
MtrunA17Chr1g0147291	Putative BURP domain-containing protein
MtrunA17Chr1g0147301	Putative BURP domain-containing protein
MtrunA17Chr1g0147311	Putative BURP domain-containing protein
MtrunA17Chr1g0147321	Putative BURP domain-containing protein
MtrunA17Chr1g0147331	Putative BURP domain-containing protein
MtrunA17Chr1g0147341	Putative DNA-directed DNA polymerase
MtrunA17Chr1g0147351	Putative BAH domain-containing protein
MtrunA17Chr1g0147361	hypothetical protein
MtrunA17Chr1g0147371	Putative BAH domain-containing protein
MtrunA17Chr1g0147381	hypothetical protein
MtrunA17Chr1g0147391	hypothetical protein
MtrunA17Chr1g0147401	hypothetical protein
MtrunA17Chr1g0147411	hypothetical protein
MtrunA17Chr1g0147421	Putative transcription factor NAM family
MtrunA17Chr1g0147441	hypothetical protein
MtrunA17Chr1g0147451	Putative meiosis arrest female protein
MtrunA17Chr1g0147471	Putative C2 domain-containing protein
MtrunA17Chr1g0147481	Putative cadmium-transporting ATPase
MtrunA17Chr1g0147491	Putative transcription factor bZIP family
MtrunA17Chr1g0147501	Putative proteasome component (PCI) domain, tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0147511	hypothetical protein
MtrunA17Chr1g0147531	hypothetical protein
MtrunA17Chr1g0147551	Putative F-box domain, galactose oxidase/kelch, beta-propeller, kelch-type beta propeller
MtrunA17Chr1g0147561	Putative helicase, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr1g0147571	Putative small auxin-up RNA
MtrunA17Chr1g0147581	Putative proton-dependent oligopeptide transporter family
MtrunA17Chr1g0147591	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr1g0147601	Putative glucuronosyl-galactosyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase
MtrunA17Chr1g0147611	Putative L-arabinokinase
MtrunA17Chr1g0147621	hypothetical protein
MtrunA17Chr1g0147631	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr1g0147641	Putative glutathione-specific gamma-glutamylcyclotransferase, gamma-glutamyl cyclotransferase
MtrunA17Chr1g0147651	Putative transcription factor MYB family
MtrunA17Chr1g0147671	hypothetical protein
MtrunA17Chr1g0147681	Putative non-specific serine/threonine protein kinase
MtrunA17Chr1g0147691	Putative protein kinase TKL-CTR1-DRK-1 family
MtrunA17Chr1g0147701	Putative protein kinase RLK-Pelle-LRR-III family
MtrunA17Chr1g0147711	hypothetical protein
MtrunA17Chr1g0147721	Putative rossmann-like alpha/beta/alpha sandwich protein
MtrunA17Chr1g0147731	Putative protein kinase RLK-Pelle-RLCK-IXb family
MtrunA17Chr1g0147741	hypothetical protein
MtrunA17Chr1g0147751	Putative DNA topoisomerase
MtrunA17Chr1g0147761	hypothetical protein
MtrunA17Chr1g0147771	hypothetical protein
MtrunA17Chr1g0147781	Putative DNA topoisomerase
MtrunA17Chr1g0147791	Putative DNA topoisomerase, type IA, central region, subdomain 1
MtrunA17Chr1g0147801	Putative DNA topoisomerase, type IA
MtrunA17Chr1g0147811	Putative DNA topoisomerase
MtrunA17Chr1g0147821	Putative transcription factor interactor and regulator CCHC(Zn) family
MtrunA17Chr1g0147831	hypothetical protein
MtrunA17Chr1g0147841	Putative UDP-glucose 4,6-dehydratase
MtrunA17Chr1g0147851	hypothetical protein
MtrunA17Chr1g0147861	hypothetical protein
MtrunA17Chr1g0147871	hypothetical protein
MtrunA17Chr1g0147881	Putative transcription factor WRKY family
MtrunA17Chr1g0147901	Putative actinidain
MtrunA17Chr1g0147911	Putative exocyst complex component Exo70, cullin repeat-like-containing domain-containing protein
MtrunA17Chr1g0147921	hypothetical protein
MtrunA17Chr1g0147931	Putative CBS domain, tetratricopeptide-like helical domain, aldolase-type TIM barrel
MtrunA17Chr1g0147941	Putative Calmodulin-binding domain, plant
MtrunA17Chr1g0147951	Putative transcription factor C2H2 family
MtrunA17Chr1g0147961	Putative transcriptional coactivator Hfi1/Transcriptional adapter 1
MtrunA17Chr1g0147971	Putative transcriptional coactivator Hfi1/Transcriptional adapter 1
MtrunA17Chr1g0147981	Putative proton-exporting ATPase
MtrunA17Chr1g0148001	hypothetical protein
MtrunA17Chr1g0148011	Putative proton-exporting ATPase
MtrunA17Chr1g0148021	Putative peroxidase
MtrunA17Chr1g0148031	Putative proton-exporting ATPase
MtrunA17Chr1g0148041	Putative transcription factor C2H2 family
MtrunA17Chr1g0148051	hypothetical protein
MtrunA17Chr1g0148061	Putative transcription factor C2H2 family
MtrunA17Chr1g0148071	hypothetical protein
MtrunA17Chr1g0148081	hypothetical protein
MtrunA17Chr1g0148091	Phosphoenolpyruvate carboxylase
MtrunA17Chr1g0148101	Putative phosphoenolpyruvate carboxylase
MtrunA17Chr1g0148111	Putative phosphoenolpyruvate carboxylase
MtrunA17Chr1g0148121	Putative cadmium-transporting ATPase
MtrunA17Chr1g0148131	Putative replication factor A protein
MtrunA17Chr1g0148141	hypothetical protein
MtrunA17Chr1g0148151	hypothetical protein
MtrunA17Chr1g0148161	hypothetical protein
MtrunA17Chr1g0148181	Putative fasciclin-like arabinogalactan protein
MtrunA17Chr1g0148191	Putative fasciclin-like arabinogalactan protein
MtrunA17Chr1g0148201	hypothetical protein
MtrunA17Chr1g0148211	Putative fasciclin-like arabinogalactan protein
MtrunA17Chr1g0148221	Putative fasciclin-like arabinogalactan protein
MtrunA17Chr1g0148231	Putative fasciclin-like arabinogalactan protein
MtrunA17Chr1g0148241	Putative glycosyl transferase, family 14
MtrunA17Chr1g0148251	Putative plastid lipid-associated protein/fibrillin
MtrunA17Chr1g0148261	Putative 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase
MtrunA17Chr1g0148271	Putative Lunapark domain-containing protein
MtrunA17Chr1g0148281	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0148291	Putative RNA helicase
MtrunA17Chr1g0148301	Putative RNA helicase
MtrunA17Chr1g0148311	Putative PWI domain-containing protein
MtrunA17Chr1g0148321	Putative ubiquitinyl hydrolase 1
MtrunA17Chr1g0148341	Putative G-protein gamma
